municipality_name,age_gr,sex,pop
Kauno m. sav.,0–4,Moteris,7221
Kauno m. sav.,5–9,Vyras,8294
Kauno m. sav.,5–9,Moteris,8015
Kauno m. sav.,10–14,Vyras,7753
Kauno m. sav.,10–14,Moteris,7326
Kauno m. sav.,15–19,Vyras,6081
Kauno m. sav.,15–19,Moteris,5955
Kauno m. sav.,20–24,Vyras,6895
Kauno m. sav.,20–24,Moteris,6854
Kauno m. sav.,25–29,Vyras,8861
Kauno m. sav.,25–29,Moteris,9294
Kauno m. sav.,30–34,Vyras,10925
Kauno m. sav.,30–34,Moteris,11236
Kauno m. sav.,35–39,Vyras,11330
Kauno m. sav.,35–39,Moteris,11468
Kauno m. sav.,40–44,Vyras,9590
Kauno m. sav.,40–44,Moteris,9634
Kauno m. sav.,45–49,Vyras,8801
Kauno m. sav.,45–49,Moteris,9609
Kauno m. sav.,50–54,Vyras,9147
Kauno m. sav.,50–54,Moteris,10595
Kauno m. sav.,55–59,Vyras,8861
Kauno m. sav.,55–59,Moteris,11297
Kauno m. sav.,60–64,Vyras,9150
Kauno m. sav.,60–64,Moteris,12810
Kauno m. sav.,65–69,Vyras,6698
Kauno m. sav.,65–69,Moteris,10432
Kauno m. sav.,70–74,Vyras,5295
Kauno m. sav.,70–74,Moteris,9864
Kauno m. sav.,75–79,Vyras,4226
Kauno m. sav.,75–79,Moteris,8695
